CardNo;Count;Priority;English;French;Spanish
1;3;0;The last one to put his thumb<P> On his nose must drink!;Le dernier Ö poser son pouce<P> Sur son nez boit!;El £ltimo en poner el dedo<P> En la nariz sus bebidas!
2;3;0;The last one to touch<P> Someone else's ear<P> Must drink!;Le dernier Ö toucher l'oreille<P> De quelqu'un d'autre boit!;El £ltimo en tocar el o°do<P> De alguien bebe m†s!
3;2;1;The last one to spin around<P> Must drink!;Le dernier Ö tourner<P> Autour de lui-màme boit!;La £ltima en dar<P> La vuelta borracho!
4;3;0;The last one to do<P> The 'L' sign must drink!;Le dernier Ö faire<P> Le signe 'L' boit!;El £ltimo en firmar<P> La 'L' de las bebidas!
5;3;0;The last one to say his name<P> By saying 'My name is'<P> Must drink!;Le dernier Ö prononcer son nom<P> En disant 'Mon nom est'<P> Doit boire!;El £ltimo en dar su nombre<C><P> Diciendo: 'Mi nombre es'<P> Tiene que beber!
6;3;1;The last one to take a shot<P> Must take another shot!;Le dernier Ö boire<P> Boit de nouveau!;La £ltima copa para<P> Beber de nuevo!
7;3;0;Say 'Are you drunk yet?'<P> If anybody says yes<C> he must take a shot!<P> Else<C> don't worry!;Dites '“tes-vous saoñl?'<P> Si quelqu'un rÇpond oui<C><P> Il doit boire Ö nouveau!<P> Sinon<C> tant pis!;Diga '®Est†s borracho?'<P> Si alguien contesta que s°<C><P> Que debe beber de nuevo!<P> De lo contrario<C> mala suerte!
8;2;0;Anybody who has played<P> An MMO game must drink a shot!;N'importe qui<P> Ayant jouÇ Ö un jeu MMO<P> Doit boire un coup!;Cualquiera que<P> Haya jugado un juego MMO<P> Necesita un trago!
9;2;0;Anybody who has played<P> A Facebook game must drink a shot!;N'importe qui<P> Ayant jouÇ Ö un jeu Facebook<P> Doit boire un coup!;Cualquiera que<P> Haya jugado un juego de Facebook<P> Debe tener una bebida!
10;2;0;Anybody who has played<P> A board game must drink a shot!;N'importe qui<P> Ayant jouÇ Ö un jeu de plateau<P> Doit boire un coup!;Cualquiera que<P> Haya jugado un juego de mesa<P> Necesita un trago!
11;3;0;Anybody who played with dolls<P> Must drink a shot!<P> If there's only boys around the table...<P> Cheers! Everyone take a shot for the girls!;N'importe qui<P> Ayant dÇjÖ jouÇ aux poupÇes<P> Doit boire un coup!<P> S'il n'y a que des gars...<P> SantÇ! Tout le monde boit pour les filles!;Cualquiera que<P> Haya jugado mu§ecas debe tener una bebida!<P> Si no hay ese tipo ...<P> Salud! Todos beben para las ni§as!
12;3;1;Anybody who has missing teeth<P> Must take a shot equals<P> To the number of teeth missing!<P> But if you have dentures<C> you're lucky<C><P> Take only 1 shot!;Si quelqu'un a des dents manquantes<C><P> Il doit boire un coup<P> Pour le nombre de dents manquantes!<P> Mais si vous avez un dentier<C><P> Vous àtes chanceux<C><P> Buvez 1 coup!;Si alguien tiene los dientes que falta<C><P> debe tener una bebida<P> para el n£mero de dientes perdidos!<P> Pero si usted tiene dentadura postiza<C><P> Tienes suerte<C><P> Beber un tiro!
13;3;0;The last one to jump must drink!;Le dernier Ö sauter doit boire un coup!;El £ltimo salto es una bebida!
14;3;0;Touch someone else's shoulder!<P> The last one who does this must drink!;Touchez l'Çpaule de quelqu'un!<P> Le dernier Ö le faire doit boire un coup!;Toque en el hombro de alguien!<P> El £ltimo paso es tomar una copa!
15;3;0;The last one to put his elbow<P> On a table must take one shot!;Le dernier Ö mettre son coude<P> Sur la table doit boire!;El £ltimo en poner el codo<P> Sobre la mesa para beber!
16;3;1;Draw a circle! If it's round<C><P> You can give 2 shots<C> else<C><P> Drink them!;Dessine un cercle! S'il est rond<C><P> Tu peux donner 2 gorgÇes<C> sinon<C><P>Bois-les!;Dibuja un c°rculo! Si es redonda<C><P> puede dar dos sorbos<C><P> De lo contrario la madera!
17;3;1;Draw a line! If it's straight<C><P> You can give 2 shots<C> else<C><P> Drink them!;Dessine un trait! S'il est droit<C><P> Tu peux donner 2 gorgÇes<C> sinon<C><P> Bois-les!;Dibuja una l°nea! Si es correcto<C><P> puede dar dos sorbos<C><P> De lo contrario la madera!
18;3;0;Flip a coin! If it's head<C><P> You may give a shot<C> else<C><P> Drink it!;Joue Ö pile ou face! Si c'est face<C><P> Tu peux donner 1 gorgÇe<C> sinon<C><P> Bois-la!;Juega tirar! Si sale cara<C><P> Usted puede dar un sorbo<C><P> De lo contrario la madera!
19;3;0;Flip a coin! If it's tail<C><P> You may give a shot<C> else<C><P> Drink it!;Joue Ö pile ou face! Si c'est pile<C><P> Tu peux donner 1 gorgÇe<C> sinon<C><P> Bois-la!;Juega tirar! Si esto es correcto<C><P> Puede dar un sorbo<C><P> De lo contrario la madera!
20;2;1;Here's a number: 5!<P> Make the people guess<P> The number from 1 to 10!<P> Each one who fails<P> Must take a shot until<P> There is a winner!;Voici un chiffre: 5!<P> Fait deviner le chiffre<P> De 1 Ö 10 Ö tour de rìle!<P> Chaque personne qui rate son coup<P> Boit jusqu'au gagnant!;He aqu° un n£mero: 5!<P> Para adivinar el n£mero<P> Del 1 al 10 para girar!<P> Cada persona que pierde<P> Su oportunidad de ganar las bebidas!
21;2;1;Here's a number: 3!<P> Make the people guess<P> The number from 1 to 10!<P> Each one who fails<P> Must take a shot until<P> There is a winner!;Voici un chiffre: 3!<P> Fait deviner le chiffre<P> De 1 Ö 10 Ö tour de rìle!<P> Chaque personne qui rate son coup<P> Boit jusqu'au gagnant!;He aqu° un n£mero: 3!<P> 'M adivinar el n£mero<P> Del 1 al 10 para girar!<P> Cada persona que pierde<P> Su oportunidad de ganar las bebidas!
22;2;1;Here's a number: 10!<P> Make the people guess<P> The number from 1 to 10!<P> Each one who fails<P> Must take a shot until<P> There is a winner!;Voici un chiffre: 10!<P> Fait deviner le chiffre<P> De 1 Ö 10 Ö tour de rìle!<P> Chaque personne qui rate son coup<P> Boit jusqu'au gagnant!;He aqu° un n£mero: 10!<P> Para adivinar el n£mero<P> Del 1 al 10 para girar!<P> Cada persona que pierde<P> Su oportunidad de ganar las bebidas!
23;2;1;Here's a number: 8!<P> Make the people guess<P> The number from 1 to 10!<P> Each one who fails<P> Must take a shot until<P> There is a winner!;Voici un chiffre: 4!<P> Fait deviner le chiffre<P> De 1 Ö 10 Ö tour de rìle!<P> Chaque personne qui rate son coup<P> Boit jusqu'au gagnant!;He aqu° un n£mero: 4! Para adivinar el n£mero del 1 al 10 para girar! Cada persona que pierde su oportunidad de ganar las bebidas!
24;2;1;Here's a word: PARTY!<P> You must spell it backward!<P> If you succeed<C> give 3 shots<C><P> Else<C> drink them!;Voici un mot: PARTY!<P> Tu dois l'Çpeller Ö l'envers!<P> Si tu rÇussis<C> donne 3 gorgÇes<C><P> Sinon<C> bois-les!;He aqu° una palabra: FIESTA!<P> Debe deletrea la boca!<P> Si tienes Çxito<C> dar 3 sorbos<C><P> De lo contrario la madera!
25;2;0;Here's a word: BEER!<P> You must spell it backward!<P> If you succeed<C> give 3 shots<C><P> Else<C> drink them!;Voici un mot: BI‘RE!<P> Tu dois l'Çpeller Ö l'envers!<P> Si tu rÇussis<C> donne 3 gorgÇes<C><P> Sinon<C> bois-les!;He aqu° una palabra: CERVEZA!<P> Debe deletrea la boca!<P> Si tienes Çxito<C> dar 3 sorbos<C><P> De lo contrario la madera!
26;2;0;Here's a word: WINE!<P> You must spell it backward!<P> If you succeed<C> give 3 shots<C><P> Else<C> drink them!;Voici un mot: VIN!<P> Tu dois l'Çpeller Ö l'envers!<P> Si tu rÇussis<C> donne 3 gorgÇes<C><P> Sinon<C> bois-les!;He aqu° una palabra: VINO!<P> Debe deletrea la boca!<P> Si tienes Çxito<C> dar 3 sorbos<C><P> De lo contrario la madera!
27;2;1;Here's a word: SPIRITS!<P> You must spell it backward!<P> If you succeed<C> give 3 shots<C><P> Else<C> drink them!;Voici un mot: ALCOOL!<P> Tu dois l'Çpeller Ö l'envers!<P> Si tu rÇussis<C> donne 3 gorgÇes<C><P> Sinon<C> bois-les!;He aqu° una palabra: ALCOHOL!<P> Debe deletrea la boca!<P> Si tienes Çxito<C> dar 3 sorbos<C><P> De lo contrario la madera!
28;2;1;Here's a word: DRINK!<P> You must spell it backward!<P> If you succeed<C> give 5 shots<C><P> Else<C> drink them!;Voici un mot: BOIRE!<P> Tu dois l'Çpeller Ö l'envers!<P> Si tu rÇussis<C> donne 5 gorgÇes<C><P> Sinon<C> bois-les!;He aqu° una palabra: BEBER!<P> Debe deletrea la boca!<P> Si tienes Çxito<C> dar 5 sorbos<C><P> De lo contrario la madera!
29;2;0;Here's a word: LAUGH!<P> You must spell it backward!<P> If you succeed<C> give 5 shots<C><P> Else<C> drink them!;Voici un mot: RIRE!<P> Tu dois l'Çpeller Ö l'envers!<P> Si tu rÇussis<C> donne 5 gorgÇes<C><P> Sinon<C> bois-les!;He aqu° una palabra: RISA!<P> Debe deletrea la boca!<P> Si tienes Çxito<C> dar 5 sorbos<C><P> De lo contrario la madera!
30;2;2;Here's a word: BACKWARD!<P> You must spell it backward!<P> If you succeed<C> give 8 shots!<P> Else<C> you and someone else<P> Must split them!;Voici un mot: ENVERS!<P> Tu dois l'Çpeller Ö l'envers!<P> Si tu rÇussis<C> donne 8 gorgÇes<C><P> Sinon<C> bois-les!;He aqu° una palabra: ASTRADOS!<P> Debe deletrea la boca!<P> Si tienes Çxito<C> dar 8 sorbos<C><P> De lo contrario la madera!
31;2;2;Here's a word: GATHERING!<P> You must spell it backward!<P> If you succeed<C> give 8 shots!<P> Else<C> you and someone else<P> Must split them!;Voici un mot: RASSEMBLER!<P> Tu dois l'Çpeller Ö l'envers!<P> Si tu rÇussis<C> donne 8 gorgÇes<C><P> Sinon<C> bois-les!;He aqu° una palabra: REUNIRSE! Debe deletrea la boca! Si tienes Çxito<C> dar 8 sorbos<C><P> De lo contrario la madera!
32;2;1;Make someone guess the word:<P> 'This beverage's first apparition<P> Goes as far as 6000 B.C.'<P> ANSWER: Wine!<P> The one who guess gives 3 shots<C><P> Else<C> you do!;Fait deviner le mot:<P> 'Ce breuvage est apparu d'aussi loin<P> que l'annÇe 6000 B.C.'<P> RêPONSE: Vin!<P> Celui qui trouve donne 3 gorgÇes<C><P> Sinon<C> tu les donnes!;Para adivinar la palabra:<P> 'Es breuvage apareci¢ ya en el a§o<P> 6000 antes de Cristo'<P> RESPUESTA: Vino!<P> El que encuentre da tres sorbos<C><P> Si se les da!
33;2;1;Make someone guess the word:<P> 'To make this beverage<C><P> You have to brew it!'<P> ANSWER: Beer!<P> The one who guess gives 3 shots<C><P> Else<C> you do!;Fait deviner le mot:<P> 'Pour faire ce breuvage<C><P> Tu dois le brasser!'<P> RêPONSE: Biäre!<P> Celui qui trouve donne 3 gorgÇes<C><P> Sinon<C> tu les donnes!;Para adivinar la palabra:<P> 'Para hacer esta bebida<C><P> Tienes que revolver!' RESPUESTA: Cerveza!<P> El que encuentre da tres sorbos<C><P> Si se les da!
34;2;1;Make someone guess the word:<P> 'A distilled beverage that contains<P> No added sugar and<P> At least 20% alcohol!'<P> ANSWER: Spirits!<P> Reward: 3 shots to give!;Fait deviner le mot:<P> 'Un breuvage distillÇ qui<P> Ne contient aucun sucre ajoutÇ et<P> Au moins 20% d'alcool!'<P> RêPONSE: Spiritueux!<P> Celui qui trouve donne 3 gorgÇes<C><P> Sinon<C> tu les donnes!;Adivina la palabra es:<P> 'Una bebida destilada que<P> No contenga az£car y<P> Alcohol por lo menos 20%'<P> RESPUESTA: Licor!<P> El que encuentre da tres sorbos<C><P> Si se les da!
35;2;1;"Anybody answer this:<P> 'What is port wine?'<P> A) A sweet red wine produced from Portugal;<P> B) A port in southern America;<P> C) A ball you may kick;<P> ANSWER : A!<P> The first who answer may give 3 shots!";"Pose la question:<P> 'Qu'est-ce que le porto?'<P> A) Un vin rouge produit du portugal;<P> B) Un port en AmÇrique du Sub;<P> C) Un ballon qu'on peut botter;<P> RêPONSE : A!<P> Le premier qui dit vrai<P> peut donner 3 gorgÇes!";"Plantee la pregunta:<P> '®QuÇ vino de oporto?'<P> A) Un vino tinto producido a partir de portugal;<P> B) Un puerto en AmÇrica Sub;<P> C) Una pelota puede golpear;<P> RESPUESTA: A!<P> El primero que dijo la verdad<P> Puede dar tres sorbos!"
36;2;1;"Anybody answer this:<P> 'What is distillation?'<P> A) The process of making fire;<P> B) The method of separating mixtures;<P> C) Drinking until you throw up;<P> ANSWER : B!<P> The first who answer may give 3 shots!";"Pose la question:<P> 'Qu'est-ce que la distillation?'<P> A) Faire du feu;<P> B) MÇthode pour sÇparer les mÇlanges;<P> C) Boire Ö àtre malade;<P> RêPONSE : B!<P> Le premier qui dit vrai<P> Peut donner 3 gorgÇes!";"Plantee la pregunta:<P> '®QuÇ es la destilaci¢n?'<P> A) Hacer fuego MÇtodo;<P> B) Para la separaci¢n de mezclas;<P> C) Beber de ser enfermo;<P> RESPUESTA: B!<P> El primero que dijo la verdad<P> Puede dar tres sorbos!"
37;2;1;"Anybody answer this:<P> 'Absinthe is':<P> A) A drug sold by criminals;<P> B) A star in the Galaxy;<P> C) A highly alcoholic beverage;<P> ANSWER : C!<P> The first who answer may give 3 shots!";"Pose la question:<P> 'L'absinthe est:'<P> A) une drogue vendue dans la rue;<P> B) Une Çtoile dans la galaxie;<P> C) Un breuvage hautement alcoolique;<P> RêPONSE : C!<P> Le premier qui dit vrai<P> Peut donner 3 gorgÇes!";"Plantee la pregunta:<P> 'Absinthe es:'<P> A) Un medicamento vendido en la calle;<P> B) Un estrella en la galaxia;<P> C) Una bebida alcoh¢lica altamente;<P> RESPUESTA: C!<P> El primero que dijo la verdad<P> Puede dar tres sorbos!"
38;2;2;Anybody answer this:<P> 'What shape is a bowling ball?'<P> The first who answer may give 5 shots!;Pose la question:<P> 'De quelle forme est<P> Une boule de quille?'<P>  Le premier qui dit vrai<P> Peut donner 5 gorgÇes!;Plantee la pregunta:<P> '®QuÇ forma tiene<P> Una bola de boliche?'<P> El primero que dijo<P> La verdad puede dar 5 tragos!
39;2;2;Anybody answer this:<P> 'What shape is a dice?'<P> The first who answer may give 5 shots!;Pose la question:<P> 'Quelle est la forme d'un dÇ?'<P> Le premier qui dit vrai<P> Peut donner 5 gorgÇes!;Plantee la pregunta:<P> '®Cu†l es la forma de un dado?'<P> El primero que dijo la verdad<P> Puede dar 5 tragos!
40;2;1;Anybody answer this:<P> 'In which direction does a clock ticks?'<P> The first who answer may give 5 shots!;Pose la question:<P> 'Dans quel sens tourne<P> Les aiguilles d'une horloge?'<P> Le premier qui dit vrai<P> Donne 5 gorgÇes!;Plantee la pregunta:<P> '®En quÇ sentido gira<P> Las manecillas de un reloj?'<P> El primero que dijo la verdad<P> Da 5 tragos!
41;3;0;You can give 3 shots<P> To 3 different<P> Non-consecutive people!;Donne 3 gorgÇes<P> ∑ 3 personnes diffÇrentes<P> Non-consÇcutives!;Hace 3 a 3 tragos<P> No consecutivos<P> De diferentes personas!
42;3;1;You can give 5 shots<P> to 5 different<P> Non-consecutive people!;Donne 5 gorgÇes<P> ∑ 5 personnes diffÇrentes<P> Non-consÇcutives!;Hace 5 a 5 tragos<P> No consecutivos<P> De diferentes personas!
43;2;2;You can give 7 shots<P> to 7 different<P> Non-consecutive people!;Donne 7 gorgÇes<P> ∑ 7 personnes diffÇrentes<P> Non-consÇcutives!;Hace 7 a 7 tragos<P> No consecutivos<P> De diferentes personas!
44;2;0;You can give 3 shots to anybody!;Donne 3 gorgÇes Ö qui tu veux!;Hace 3 sorbos que usted quiera!
45;2;1;You can give 5 shots to anybody!;Donne 5 gorgÇes Ö qui tu veux!;Hace 5 sorbos que usted quiera!
46;1;2;You can give 7 shots to anybody!;Donne 7 gorgÇes Ö qui tu veux!;Hace 7 sorbos que usted quiera!
47;3;0;You can give 3 shots... <P>But you must drink one!;Tu peux donner 3 gorgÇes...<P> Mais tu dois en boire 1!;Usted puede dar 3 sorbos...<P> Pero tienes 1 bebida!
48;3;1;You can give 5 shots... <P>But you must drink 2 of them!;Tu peux donner 5 gorgÇes...<P> Mais tu dois en boire 2!;Usted puede dar 5 sorbos...<P> Pero tienes 2 bebida!
49;2;2;You can give 7 shots... <P>But you must drink 3 of them!;Tu peux donner 7 gorgÇes...<P> Mais tu dois en boire 3!;Usted puede dar 7 sorbos...<P> Pero tienes 3 bebida!
50;3;0;Everyone who wear black<P> Must drink!;Tous ceux qui portent du noir<P> Doivent boire!;Todas las personas deben beber<P> Negro que llevaba!
51;3;0;Everyone who wear white<P> Must drink!;Tous ceux qui portent du blanc<P> Doivent boire!;Todas las personas deben beber<P> Blanco que llevaba!
52;3;0;Everyone who wore a hat today<P> Must drink!;Tous ceux qui ont mis<P> Un chapeau aujourd'hui<P> Doivent boire!;Todos los que ponen<P> Un sombrero<P> De hoy debe beber!
53;3;0;Everyone who wears jeans<P> Must drink!;Tous ceux qui portent des jeans<P> Doivent boire!;Todos los que usan jeans<P> Deben beber!
54;1;2;Take the oldest one's age<P> And take the last number:<P> That's the number of shots<P> You may give! 0 counts for 10!;Prend l'Ége du plus vieux<P> Parmi vous et prend le dernier chiffre:<P> C'est le nombre de gorgÇes<P> Que tu peux donner!<P> 0 compte pour 10!;Es de la edad de los m†s antiguos<P> Entre vosotros y toma<P> El £ltimo n£mero:<P> El n£mero de tragos<P> Que usted puede dar!<P> 0 cuenta hasta 10!
55;2;1;Choose someone!<P> Each 3 cards drawn<C><P> This person must drink a shot!;Choisi quelqu'un!<P> ∑ chaque 3 cartes<C><P> Cette personne doit boire un coup!;Elegido a alguien!<P> Cada 3 tarjetas<C><P> Esa persona debe tener una bebida!
56;2;1;Choose 2 person!<P> The first one must drink<P> Each shot the other drinks!;Choisi 2 personnes!<P> Le premier doit boire<P> Chaque gorgÇes que l'autre prend!;2 personas elegido!<P> Los primeros sorbos<P> De beber s° que lo es!
57;2;0;Choose someone except yourself!<P> That person will give the shots<P> For 2 turns!;Choisi quelqu'un sauf toi!<P> Cette personne donnera les gorgÇes<P> Pendant 2 tours!;A menos que alguien ha elegido!<P> Esta persona va a dar sorbos<P> Durante 2 vueltas!
58;2;2;Choose someone!<P> You must drink each shots that<P> That one takes!;Choisi quelqu'un!<P> Tu dois boire les gorgÇes<P> Qu'elle boit!;Elegido a alguien!<P> Usted debe beber<P> Sorbos su bebida!
59;3;0;Choose a color!<P> Everyone wearing that color<P> Must drink!;Choisi une couleur!<P> Ceux qui la portent<P> Doivent boire!;Elija un color!<P> Los que deben<P> Beber!
60;2;0;Choose a girl!<P> She must choose someone:<P> That one drinks each shot she takes!<P> If there is no girls...<P> Cheers! Everyone drinks!;Choisi une fille!<P> Elle doit choisir quelqu'un:<P> Celui-ci boit<P> Les coups qu'elle prends!<P> S'il n'y a pas de filles...<P> SantÇ! Tout le monde boit!;Elija una ni§a!<P> Ten°a que elegir a alguien<C><P> Lo sopla tomar bebidas!<P> Si no hay chicas...<P> Salud! Todos beben!
61;3;0;If you are bound to take shots<C><P> You may give them to someone else<P> For 2 rounds!;Si tu es obligÇ de boire des gorgÇes<C><P> Tu peux les donner Ö quelqu'un d'autre<P> Pendant 2 tours!;Si se ve obligado a beber sorbos<C><P> Se les puede dar a otra persona<P> Para 2 vueltas!
62;7;1;This card cancels all rules applied!<P> Cheers! Everyone drinks!;Cette carte annule toutes les rägles!<P> SantÇ! Tout le monde boit!;Esta tarjeta se cancela todas las reglas!<P> Salud! Todos beben!
