CardNo;Count;Priority;English;French;Spanish
63;10;1;This card cancels all rules applied!;Cette carte annule toutes les rägles!;Esta tarjeta se cancela todas las reglas!
64;7;1;This card cancels all rules applied!<P> Then create a rule!;Cette carte annule toutes les rägles!<P> Puis<C> crÇe-en 1 nouvelle!;Esta tarjeta se cancela todas las reglas!<P> A continuaci¢n<C> cree nuevo todo en uno!
65;5;0;Cancel a rule! If none exists<C><P> Create one!;Annule 1 rägle! S'il n'y en a pas<C><P> Tu peux en crÇer 1!;Cancela una regla! Si no lo hay<C><P> Puede crear uno!
66;5;1;Freedom!<P> This cancels any rules<P> Making you drink for any reason!;LibertÇ!<P> Ceci annule toutes les rägles<P> Te faisant boire<P> Pour n'importe quelle raison!;≠Libertad!<P> Esta norma reemplaza<P> A todas las decisiones<P> Que tome por ning£n motivo!
67;3;0;A desert oasis: you may<P> Drink water for 2 rounds!;Un oasis dÇsertique:<P> Tu peux boire de l'eau pour 2 tours!;Un oasis en el desierto:<P> se puede beber agua<P> Durante 2 vueltas!
68;3;0;Lucky! ... Or not!<P> Take a shot!;Chanceux! ... Ou pas.<P> Bois 1 gorgÇe!;Suerte! ... O no.<P> Madera 1 sip!
69;3;1;Lucky! ... Or not!<P> Take 2 shots!;Chanceux! ... Ou pas.<P> Bois 2 gorgÇe!;Suerte! ... O no.<P> Madera 2 sip!
70;3;2;Lucky! ... Or not!<P> Take 3 shots!;Chanceux! ... Ou pas.<P> Bois 3 gorgÇe!;Suerte! ... O no<P>. Madera 3 sip!
71;5;0;Freeloader:<P> You can skip taking shots once!;Parasite:<P> Tu peux sauter<P> Ton tour de boire<P> Une seule fois!;Par†sito:<P> puede saltarse<P> Su turno para beber<P> Una vez!
72;4;0;Free Parking:<P> Skip your next round!;Parking gratuit:<P> Saute un tour au complet!;Parking:<P> Omite una torre llena!
73;3;0;Everyone must call you 'Lord'<P> And bow to you<P> Each time they mention you<P> Or take a shot!<P> If anyone draws this card<C><P> This is canceled!;Tous doivent s'adresser Ö toi<P> En tant que 'Seigneur' et te saluer<C><P> Ou boire 1 gorgÇe!<P> Si quelqu'un sort cette carte<C><P> Celle-ci est annulÇe!;Todo lo que necesita<P> Para hacer frente como 'Se§or'<P> Y decir hola<C> o beber un sorbo!<P> Si alguien sale esta tarjeta<C><P> Se cancelar†!
74;3;0;Everyone must call you 'Mayor'<P> And pay you tribute<P> Each time they mention you<P> Or take a shot!<P> If anyone draws this card<C><P> This is canceled!;Tous doivent s'adresser Ö toi<P> En tant que 'Maire' et te rendre hommage<C><P> Ou boire 1 gorgÇe!<P> Si quelqu'un sort cette carte<C><P> Celle-ci est annulÇe!;Todos tienen que abordar<P> Usted como 'Alcade' y rendir homenaje<P> A usted<C> o beber un sorbo!<P> Si alguien sale esta tarjeta<C><P> Se cancelar†!
75;3;0;Everyone must call you 'The Star'<P> And salute you or take a shot!<P> If anyone draws this card<C><P> this is canceled!;Tous doivent s'adresser Ö toi<P> En tant que 'L'Çtoile' et t'honorer<C><P> Ou boire 1 gorgÇe!<P> Si quelqu'un sort cette carte<C><P> Celle-ci est annulÇe!;Todos deben dirijo a ustedes<P> Como 'La Estrella' y respetarte<C><P> O beber un sorbo!<P> Si alguien sale esta tarjeta<C><P> Se cancelar†!
76;3;0;Choose a girl!<P> Everyone must say 'Sweet<C> dearest'<P> Before saying her name<C><P> Or take a shot!<P> If anyone draws this card<C><P> This is canceled!;Choisi une fille!<P> Tous doivent dire 'Chäre et tendre'<P> Avant de dire son nom<C><P> Ou boire 1 gorgÇe!<P> Si quelqu'un sort cette carte<C><P> Celle-ci est annulÇe!;Selecci¢n de una chica!<P> Todo el mundo debe decir 'Querida y tierna'<P> Antes de decir su nombre<C><P> O beber un sorbo!<P> Si alguien sale esta tarjeta<C><P> Se cancelar†!
77;3;0;Everyone must call you<P> 'Frankenstein'<P> Each time they mention you<P> Or take a shot!<P> If anyone draws this card<C><P> Yours is canceled!;Tous doivent te nommer<P> 'Frankenstein'<P> Chaque fois qu'ils te parlent<P> Ou boire 1 gorgÇe!<P> Si quelqu'un sort cette carte<C><P> Celle-ci est annulÇe!;Todo lo que tiene que nombrar<P> 'Frankenstein'<P> Cada vez que se mencione<P> Que beber o tomar uno!<P> Si alguien sale esta tarjeta<C><P> Se cancelar†!
78;3;0;Change someone's name<P> For a fruit name!<P> Each player who<P> Forget this name must drink!<P> This last for 5 rounds!;Change le nom de quelqu'un<P> pour un fruit!<P> Chaque joueur qui oublit ce nom<P> Doit boire 1 gorgÇe!<P> Äa dure pendant 5 tours!;Cambiar el nombre de alguien<P> Para una fruta!<P> Todos los jugadores que olvidan<P> Este nombre debe beber un sorbo!<P> Su duraci¢n es de 5 rondas!
79;4;1;From now on<C> the left handed<P> Must drink with their right hand<P> For 3 rounds!;∑ partir de maintenant<C><P> Les gauchers doivent boire<P> Avec la main droite<P> Pendant 3 tours!;A partir de ahora<C><P> La izquierda debe tomar con<P> La mano derecha de 3 vueltas!
80;4;1;From now on<C> the right handed<P> Must drink with their left hand<P> For 3 rounds!;∑ partir de maintenant<C><P> Les droitiers doivent boire<P> Avec la main gauche<P> Pendant 3 tours!;A partir de ahora<C><P> Los diestros deben tomar con<P> La mano izquierda de 3 vueltas!
81;3;2;I Am The Law: For 3 rounds<C><P> If a fellow drinker<P> Does something wrong<C><P> You decide<P> The number of shots he must take!;Je Suis La Loi: pendant 3 tours<C><P> si un participant fait une erreur<C><P> vous dÇcidez du nombre de gorgÇes<P> Qu'il reáoit!;Yo Soy Ley: hace 3 A su vez<C><P> si un participante comete un error<C><P> Usted decide<P> C¢mo muchos tragos se pone!
82;2;1;I Am God:<P> Each time someone<P> must say something about him<P> Or guess something<C><P> You have to answer on his behalf!<P> If you're right<C> he drinks 1 more shot<C><P> Else<C> you drink!<P> Valid for 2 rounds!;Je Suis Dieu: Chaque fois que quelqu'un doit dire<P> Quelque chose le concernant ou<P> Deviner quelque chose<C><P> vous devez rÇpondre Ö sa place!<P> Si vous avez raison<C> il boit 1 gorgÇe de plus<C><P> Sinon<C> vous buvez!<P> Valide pour 2 tours!;Yo Soy Dios: Cada vez que alguien tiene<P>Que decir algo acerca de la conjetura<P> O algo as°<C><P> Debe responder por ello!<P> Si est†n en lo cierto<C><P> Bebe un sorbo m†s<C> si usted bebe!<P>V†lido para 2 vueltas!
83;4;1;Bodyguard!<P> Choose someone!<P> For 5 rounds<C> each time he drinks<C><P> Choose someone else!;Garde du corps!<P> Choisi quelqu'un!<P> Pendant 5 tours<C> s'il doit boire<C><P> Choisi quelqu'un d'autre!;Guardaespaldas!<P> Elegido a alguien!<P> Durante 5 rondas<C> ya sea para beber<C><P> Opt¢ por otra persona!
84;3;2;Mute!<P> You cannot talk<P> Or make a sound<P> For 5 rounds!;Muet!<P> Tu ne peux parler<P> Ou prononcer un son<P> Pendant 5 tours!;Silencioso!<P> No se puede hablar<P> Ni emitir sonido<P> Durante 5 rondas!
85;3;1;Mute!<P> You cannot talk<P> Or make a sound<P> For 3 rounds!;Muet!<P> Tu ne peux parler<P> Ou prononcer un son<P> Pendant 3 tours!;Silencioso!<P> No se puede hablar<P> Ni emitir sonido<P> Durante 3 rondas!
86;2;1;Customs!<P> For 5 rounds<C><P> Each time someone leaves the table<P> Or comes back<C><P> You may give them 1 shot!;Douanier!<P> Pendant 3 tours<C><P> Chaque fois que quelqu'un<P> Quitte la table ou y revient<C><P> Tu peux leur donner 1 gorgÇe Ö boire!;Aduana!<P> Para 3 rondas<C><P> cada vez que alguien se levanta<P> De la mesa o devoluciones<C><P> Se les puede dar un sorbo a la bebida!
87;3;2;Bard!<P> For 3 rounds<C><P> You must talk in rhymes<C><P> Or take a shot<P> Each time you are at fault!;Barde!<P> Pendant 3 tours<C><P> Tu dois parler en rimes<C><P> Ou boire 1 gorgÇes<P> ∑ chaque fois que tu es en faute!;Bardo!<P> Durante 3 turnos<C><P> Debe hablar en rima<C><P> O beber un sorbo<P> Cada vez que usted tiene la culpa!
88;3;2;You cannot say<P> 'Yes'<C> 'No'<C> or 'Maybe'<P> For 5 rounds<C><P> Or you must drink!;Tu ne peux dire<P> 'Oui'<C> 'Non'<C> ou 'Peut-àtre'<P> Pendant 5 tours<C><P> Sinon tu bois!;No se puede decir<P> 'S°'<C> 'No' o 'Tal vez'<P> Durante 5 rondas<C><P> Si bebe!
89;3;1;For 5 rounds<C><P> You must end all your sentences<P> With a different color<C><P> else you drink!;Pendant 5 tours<C><P> Tu dois terminer tes phrases<P> Par une couleur diffÇrentes<C><P> Sinon tu bois!;Durante 5 rondas<C><P> Tienes que terminar sus frases<P> Con un color diferente<C><P> Si usted bebe!
90;4;0;Create your own rule!<P> Last for 3 rounds!;CrÇe ta propre rägle!<P> Elle dure 3 tours!;Crea tus propias reglas!<P> Tiene una duraci¢n de 3 vueltas!
91;4;1;Create your own rule!<P> Last for 5 rounds!;CrÇe ta propre rägle!<P> Elle dure 5 tours!;Crea tus propias reglas!<P> Tiene una duraci¢n de 5 vueltas!
92;3;2;Create your own rule!<P> Last for 7 rounds!;CrÇe ta propre rägle!<P> Elle dure 7 tours!;Crea tus propias reglas!<P> Tiene una duraci¢n de 7 vueltas!
93;3;1;Detective: for 3 rounds<C><P> Everytime someone draws a card<C><P> You may ask him a question!<P> If he refuses to answer<C><P> He must drink<C><P> Otherwise<C> you do!;DÇtective: pendant 3 tours<C><P> Chaque fois que quelqu'un tire une carte<C><P> Tu peux lui poser une question!<P> S'il refuse de rÇpondre<C><P> Il doit boire<C><P> Sinon<C> tu bois!;Detective: durante 3 rondas<C><P> Cada vez que alguien robe una carta<C><P> puedes hacer una pregunta!<P> Si se niega a responder<C><P> Debe beber si no bebes!
94;4;0;Cheers! Every one drinks!;SantÇ! Tout le monde boit!;Salud! Todos beben!
95;3;0;Cheers! Every boys drinks!;SantÇ! Tous les hommes boivent!;Salud! Todos los hombres beben!
96;3;0;Cheers! Every girls drinks!;SantÇ! Toutes les femmes boivent!;Salud! Todas las mujeres beber!
97;7;0;Inverse the game rotation!<P> Cheers! Everyone drink!;Changer la rotation!<P> SantÇ! Tout le monde boit!;Cambiar el giro!<P> Salud! Todos beben!
98;5;1;Inverse the game rotation!<P> Cheers! Everyone drink 2 shots!;Changer la rotation!<P> SantÇ! Tout le monde boit 2 gorgÇes!;Cambiar el giro!<P> Salud! Todo el mundo bebi¢ 2 sorbos!
99;2;1;All beer drinker takes 3 shots<C><P> All wine drinkers 2<C><P> and all spirits drinker must take one!;Tous les buveurs de biäre<P> Boivent 3 gorgÇes<C><P> Tout les buveurs de vins 2<C><P> Et tous les buveurs de spiritueux<P> En prennent 1!;Todos los amantes de la cerveza<P> Beber 3 sorbos<C><P> Los 2 bebedores de vino<C><P> Y tomar todos los bebedores<P> De licores en uno!
100;1;2;10 shots to give<C><P> You included!;10 gorgÇes Ö donner<C><P> Toi inclus!;10 sorbos darle incluido!
101;1;2;5 packs of 2 shots to give<C><P> You included!;5 paquets de 2 gorgÇes<P> ∑ donner<C> toi inclus!;5 paquetes de 2 disparos<P> Para dar<C> usted incluido!
102;1;2;Everyone drinking beer<P> Must drink 5 shots!;Tous ceux qui boivent de la biäre<P> Prennent 5 gorgÇes!;Todos los que beben cerveza<P> Tomar 5 tragos!
103;1;2;Anyone drinking wine?<P> Drink 3 shots<C><P> And you can give 5 shots!;Quelqu'un a du vin?<P> Buvez 3 gorgÇes<C><P> Et vous pouvez donner 5 gorgÇes!;Alguien vino?<P> Beber 3 sorbos<C><P> Y se puede dar 5 tragos!
104;1;2;If you drink spirits<C><P> You're lucky: you have to give<P> 10 shots!<P> Else<C> 3 shots for everyone!;Si vous buvez des spiritueux<C><P> Vous àtes chanceux:<P> Vous avez 10 gorgÇes Ö donner!<P> Sinon<C> 3 gorgÇes Ö tous!;Si toma bebidas alcoh¢licas<C><P> Tiene suerte: tiene 10 sorbos a dar!<P> De lo contrario<C><P> Todos los 3 sorbos!
105;1;2;Everyone who's not bald<P> Must drink 3 shots!;Ceux qui ne sont pas chauves<P> Doivent boire 3 gorgÇes!;Los que no son calvos<P> Deben beber 3 tragos!
106;1;2;License to kill:<P> Choose someone:<P> He must empty his drink<P> (Only if it's half full)!;Permis de tuer:<P> Choisi quelqu'un<P> Qui doit vider son verre<P> (Seulement s'il est Ö moitiÇ plein)!;Licencia para matar:<P> Seleccione a alguien<P> Que ha vaciado su vaso <P>(S¢lo si est† medio lleno)!
107;1;2;Deathtrap!<P> Empty your drink<P> (Only if its half full or less)!;Danger: vide ton verre<P> (Seulement s'il est <P>∑ moitiÇ vide ou moins)!;Peligro: el vaso vac°o<P> (S¢lo si est† medio vac°o o menos)!
108;1;2;Harbringer of death!<P> Everyone must take 5 shots<C><P> Except yourself!;Porteur de malheur:<P> Tout le monde<P> Doivent prendre 5 gorgÇes<C><P> Sauf toi!;Portador de mala suerte:<P> Todo el mundo<P> Debe tomar 5 tragos<C><P> Excepto usted!
109;1;2;Anyone having vowels in his first name<P> Must take the number of shots<P> Equals to the number of vowels!;Tous ceux qui ont des voyelles<P> dans leur prÇnom doivent prendre<P> le nombre de gorgÇes Çgal<P> au nombre de voyelles!;Todos los vocales en su nombre<P> Debe tomar el n£mero de sorbos<P> Equivalente al n£mero de vocales!
110;1;2;You have the hammer!<P> For the next 3 rounds<C><P> Add 5 shots<P> each time you have to give shots!;Tu as le marteau!<P> Pour les 3 prochains tours<C><P> Ajoute 5 gorgÇes Ö chaque fois<P> Que tu donnes des gorgÇes!;Tiene un martillo!<P> Durante los siguientes<P> 3 turnos<C><P> A§ade 5 tragos<P> Cada vez que dar sorbos!
111;3;1;Say something you did!<P> Everyone who never did that<P> Must drink!;Dis quelque chose que tu as fait!<P> Chaque personne qui<P> N'a jamais fait áa boit!;Decir algo que has hecho!<P> Cada persona que<P> Nunca ha bebido!
112;3;1;Say something you did!<P> Everyone who did that must drink<C><P> You included!;Dis quelque chose que tu as fait!<P> Chaque personne qui<P> A fait áa boit<C><P> Et toi aussi!;Decir algo que has hecho!<P> Cada persona que hizo<P> Esta bebida<C><P> Y t£ tambiÇn!
113;3;0;Say something you never did!<P> Everyone who never did that must drink<C><P> You included!;Dis quelque chose que<P> Tu n'as jamais fait!<P> Tout ceux qui n'ont jamais fait áa<P> Doivent boire<C> toi inclus!;Diga algo que nunca has hecho!<P> Todos aquellos que nunca<P> Lo han hecho deben tomar<C><P> Usted incluido!
114;3;0;Say something you never did!<P> Everyone who did that must drink!;Dis quelque chose<P> Que tu n'as jamais fait!<P> Ceux qui l'ont fait doivent boire!;Diga algo<P> Que nunca has hecho!<P> Los que han estado bebiendo!
115;3;1;Make a move!<P> The next drinker must repeat the move!<P> The game stops when a drinker fails<C><P> And he must drink!;Fait un geste!<P> Le prochain buveur<P> Doit rÇpÇter ce geste!<P> Le jeu cesse<P> Lorsque quelqu'un rate son coup<C><P> Et il doit boire!;Hizo un gesto!<P> El bebedor siguiente debe<P> Repetir el gesto!<P> El juego termina<P> Cuando alguien extra§o<C><P> Y debe beber!
116;3;1;Cadavre Exquis: Say a word!<P> The next drinker must say that word<P> And add another!<P> The game stop when a drinker<P> Cannot add another word<P> Or repeat the exact same sentence!<P>And the loser drinks twice!;Cadavre Exquis: Dis un mot!<P> Le prochain buveur doit dire ce mot<P> Et en ajouter un!<P> Le jeu arràte lorsqu'un buveur<P> Ne peut ajouter un autre mot<P> Ou rÇpÇter la phrase exacte!<P>Et le perdant boit 2 fois!;Cad†ver Exquisito: Diga una palabra!<P> El bebedor siguiente debe<P> Decir una palabra y agregar uno!<P> El juego termina cuando un bebedor<P> No puede a§adir otra palabra<P> O frase exacta repetici¢n!<P>Y el perdedor beber 2 veces!
117;3;0;Guess the word!<P> Choose a simple word!<P> The last drinker to guess it must drink!;Devine le mot!<P> Choisi un mot simple!<P> Le dernier buveur Ö le deviner<P> Doit boire!;Adivina la palabra!<P> Selecci¢n de una sola palabra!<P> El bebedor £ltimo debe<P> Beber de adivinar!
118;3;0;Challenger!<P> Challenge a fellow drinker<P> To a game of Rock Paper Scissor!<P> Only one round!<P> The loser drink!;Challenger!<P> DÇfi un participant Ö un combat<P> De Roche Papier Ciseaux!<P> 1 round!<P> Le perdant boit! ;Desaf°o Challenger<P> Participante en una batalla<P> de Pierda Papel o Tiera!<P> 1 redondear!<P> Las bebidas perdedor!
119;3;0;Challenger!<P> Challenge a fellow drinker<P> To a game of Rock Paper Scissor!<P> Two rounds!<P> The loser drink twice!;Challenger!<P> DÇfi un participant Ö un combat<P> De Roche Papier Ciseaux!<P> 2 rounds!<P> Le perdant boit 2 fois! ;Desaf°o Challenger<P> Participante en una batalla<P> de Pierda Papel o Tiera!<P> 2 rondas!<P> Las bebidas perdedor dos veces!
120;2;1;Random!<P> Do something strange!<P> Those who laughs takes a drink<C><P> And those who don't takes 2!;Hasard:<P> Fait quelque chose d'inÇdit!<P> Ceux qui rient doivent boire<C><P> Et ceux qui ne rient pas<P> Prennent 2 gorgÇes!;Random:<P> Hecho algo nuevo!<P> Los que se r°en debe beber<C><P> Y los que no se r°en son dos tragos!
121;5;0;Choose a word!<P> Everyone must find<P> A word that rhyme!<P> Failers take one shot!;Choisi un mot!<P> Tout le monde doit trouver<P> Un mot qui rime!<P> Les perdants boivent 1 coup!;Elegida una palabra!<P> Cada uno tiene que encontrar<P> Una palabra que rima!<P> Los perdedores beber un tiro!
122;2;1;"Cheater!<P> Make everyone guess<P> A number from 1 to 10<C><P> But make the last one wins!<P> If you're not discovered<C> smile<C><P> Everyone has 1 shot;<P> Else<C> take 3 shots!";"Tricheur!<P> Fait deviner un chiffre<P> De 1 Ö 10 Ö tout le monde<C><P> Mais le dernier Ö passer gagne!<P> Si tu n'es pas dÇcouvert<C> Sourit<C><P> Tout le monde boit 1 gorgÇe;<P> Sinon<C> prend 3 gorgÇes!";Para adivinar<P> Un n£mero del 1 al 10 para todos<C><P> Pero gana la £ltima jugada!<P> Si usted no est† descubierto<C><P> Sonrisas!<C> Todo el mundo bebe un sorbo<C><P> De lo contrario toma 3 tragos!
123;2;1;Authorization to skip a sip!<P> But if you're discovered<C><P> Take 3 shots!;Permissions de sauter une gorgÇe!<P> Mais si tu es pris<C><P> Prends en 3!;El permiso para pasar un trago!<P> Pero si te pillan<C><P> Tomar 3!
124;3;2;Gangster:<P> You have 3 rounds<P> To give 10 shots to whoever you want<C><P> However you want!;Gangster:<P> Tu as 3 tours pour donner<P> 10 gorgÇes Ö qui tu veux<C><P> De la faáon que tu veux!;G†ngster:<P> Usted tiene 3 vueltas para<P> Dar 10 sorbos que quieras<P> Y como quieras!
125;2;0;Shapechanger:<P> If someone has to take shots<C><P> You may decide to give them<P> To somebody else!;Changeur de forme:<P> Si quelqu'un prends des gorgÇes<C><P> Tu peux dÇcider de les donner<P> ∑ quelqu'un d'autre!;Cambiador de forma:<P> Si alguien toma sorbos<C><P> Puede decidir d†rselo <P>A alguien m†s!
126;5;1;"Thief:<P> The next time<P> Someone has to drink<C><P> You may steal the shots;<P> Either take them of give them!";Voleur:<P> La prochaine fois<P> Que quelqu'un doit boire<C><P> Tu peux voler les gorgÇes:<P> Prends-les ou donne-les Ö qui tu veux!;Ladr¢n:<P> La pr¢xima vez<P> Que alguien necesita para beber<C><P> Usted puede robar tragos:<P> Tomar ellos o darles a quien quieras!
